"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Aceguá","4300034","-31.860759999990","-54.167059999990","734.517","1.098.507","762.733","840.283","806.794","516.808","694.086","272.855","8.634","6.352","-","2.340"
"Água Santa","4300059","-28.167200000000","-52.030999999990","-","1.160.000","1.502.000","-","-","1.176.210","1.211.220","1.180.350","1.214.790","-","-","-"
"Agudo","4300109","-29.644700000000","-53.251500000000","398.104","465.581","510.196","547.380","390.771","209.467","228.654","326.398","178.151","140.676","297.022","488.398"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","-","9.898.163","18.385.650","819.000","199.516","-","-","-","-","-","-","-"
"Alegrete","4300406","-29.790199999990","-55.794899999990","996.835","1.930.949","709.499","5.843.721","9.575.470","6.620.691","10.340.152","5.643.375","26.332.231","59.642.512","31.087.726","31.205.522"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","29.977","105.558","165.595","159.030","127.003","135.820","296.489","390.613","448.005","584.985","279.493","98.965"
"Alvorada","4300604","-29.991399999990","-51.080900000000","1.504.412","2.025.452","2.176.732","3.897.826","2.359.359","1.400.109","2.557.185","5.175.397","4.659.159","4.946.800","5.036.505","13.991.331"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","2.677.439","2.890.800","2.224.397","5.105.251","4.450.106","4.244.836","4.508.233","7.057.861","8.745.561","8.620.911","7.732.298","17.125.896"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","94.615","-","98.513","75.144","71.800","70.000","45.676","-","-","-","5.415","253.660"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","8.034.064","8.397.815","10.303.508","11.261.576","11.809.058","9.830.516","9.548.822","10.762.788","13.862.790","13.612.322","18.280.717","34.710.940"
"Araricá","4300877","-29.616800000000","-50.929099999990","2.448.809","1.761.218","959.192","1.764.227","1.082.312","1.158.935","843.484","1.321.138","708.588","608.632","594.868","568.522"
"Aratiba","4300901","-27.397800000000","-52.297499999990","337.759","365.356","37.946","401.988","163.217","122.154","146.187","157.422","297.882","185.925","38.047","15.919"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","19.966.919","23.701.401","23.631.756","22.538.282","25.750.743","29.324.994","23.549.235","25.200.674","25.317.991","34.550.916","28.845.930","37.483.996"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","-","8.649","-","-","60.140","31.395","102.680","2.314","167.126","25.168","229.502","252.820"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","-","-","-","170.034","-","-","2.739.432","9.175.244","9.716.649","12.209.225","6.638.433","3.757.488"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","-","-","-","-","-","-","6.452.891","12.543.548","1.340.541","8.661.836","777.312","292.780"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","-","-","21.031","20.781","779.608","1.387.917","981.587","1.296.503","1.025.304","1.664.836","3.498.455","4.844.502"
"Áurea","4301552","-27.693600000000","-52.050500000000","-","-","-","-","-","-","-","-","-","237.389","1.677.972","2.210.004"
"Bagé","4301602","-31.329699999990","-54.099899999990","42.095.044","15.715.773","14.885.864","51.376.826","70.423.114","61.447.307","75.258.903","60.830.104","69.408.838","70.166.670","115.988.848","118.352.606"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","6.967.498","11.990.426","9.867.693","11.613.886","17.502.018","15.572.224","15.020.380","15.385.577","19.997.748","19.122.949","13.876.308","29.374.984"
"Barão","4301651","-29.372500000000","-51.494900000000","1.416.503","1.919.816","1.533.232","2.311.923","1.098.935","965.604","1.024.802","1.423.837","1.015.478","592.198","1.706.832","1.540.941"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.862.596","2.576.535","2.629.105","4.591.311","7.357.296","5.445.661","5.329.450","5.336.419","5.415.406","6.796.771","5.838.925","6.079.736"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","23.296.365","34.173.659","24.094.186","5.578.543","786.806","-","-","-","-","-","-","-"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3.314.546","4.008.058","4.478.769","5.022.469","6.799.624","6.448.363","6.820.454","6.208.572","6.442.849","6.738.501","5.133.742","9.208.625"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","-","-","-","-","-","-","22.880","-","-","-","-","56.909"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","104.632.702","118.447.370","112.881.003","94.499.772","89.574.449","63.392.288","69.438.317","81.605.675","77.113.487","89.592.915","79.426.848","114.344.938"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","-","-","-","-","-","-","-","-","-","-","-","25.994"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","-","-","-","-","-","190.088","403.442","227.155","581.757","131.022","-","91.724"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","13.047.355","29.894.990","9.326.371","12.295.242","8.956.069","5.243.571","4.754.285","4.673.527","4.570.617","3.498.520","4.126.319","5.940.852"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","-","-","9.030","3.670","12.478","-","-","8.773","31.433","40.828","28.224","189.256"
